    tprime_i    fprime_i    tprime_e          ky       omega       gamma       omlin       gmlin      omlina      gmlina      omquad      gmquad     omquada     gmquada
  0.5000E+02  0.1000E+02  0.5000E+02  0.1000E+00 -0.1952E+00  0.8281E+00 -0.8663E+00  0.0000E+00 -0.9313E+00  0.0000E+00 -0.4332E+00  0.4445E+00 -0.4332E+00  0.4445E+00
 
  0.5000E+02  0.1000E+02  0.5000E+02  0.1000E+00 -0.1952E+00  0.8281E+00 -0.8663E+00  0.0000E+00 -0.9313E+00  0.0000E+00 -0.4332E+00  0.4445E+00 -0.4332E+00  0.4445E+00
 
  0.5000E+02  0.1000E+02  0.5000E+02  0.1000E+00 -0.1952E+00  0.8281E+00 -0.8663E+00  0.0000E+00 -0.9313E+00  0.0000E+00 -0.4332E+00  0.4445E+00 -0.4332E+00  0.4445E+00
 
  0.5000E+02  0.1000E+02  0.5000E+02  0.1000E+00 -0.1952E+00  0.8281E+00 -0.8663E+00  0.0000E+00 -0.9313E+00  0.0000E+00 -0.4332E+00  0.4445E+00 -0.4332E+00  0.4445E+00
 
  0.5000E+02  0.1000E+02  0.5000E+02  0.1000E+00 -0.1952E+00  0.8281E+00 -0.8663E+00  0.0000E+00 -0.9313E+00  0.0000E+00 -0.4332E+00  0.4445E+00 -0.4332E+00  0.4445E+00
 
  0.5000E+02  0.1000E+02  0.5000E+02  0.1000E+00 -0.1952E+00  0.8281E+00 -0.8663E+00  0.0000E+00 -0.9313E+00  0.0000E+00 -0.4332E+00  0.4445E+00 -0.4332E+00  0.4445E+00
 
  0.5000E+02  0.1000E+02  0.5000E+02  0.2000E+00 -0.3235E-01  0.1669E+01 -0.1367E+01  0.0000E+00 -0.1480E+01  0.0000E+00 -0.6833E+00  0.9556E+00 -0.6833E+00  0.9556E+00
 
  0.5000E+02  0.1000E+02  0.5000E+02  0.2000E+00 -0.3235E-01  0.1669E+01 -0.1367E+01  0.0000E+00 -0.1480E+01  0.0000E+00 -0.6833E+00  0.9556E+00 -0.6833E+00  0.9556E+00
 
  0.5000E+02  0.1000E+02  0.5000E+02  0.2000E+00 -0.3235E-01  0.1669E+01 -0.1367E+01  0.0000E+00 -0.1480E+01  0.0000E+00 -0.6833E+00  0.9556E+00 -0.6833E+00  0.9556E+00
 
  0.5000E+02  0.1000E+02  0.5000E+02  0.2000E+00 -0.3235E-01  0.1669E+01 -0.1367E+01  0.0000E+00 -0.1480E+01  0.0000E+00 -0.6833E+00  0.9556E+00 -0.6833E+00  0.9556E+00
 
  0.5000E+02  0.1000E+02  0.5000E+02  0.2000E+00 -0.3235E-01  0.1669E+01 -0.1367E+01  0.0000E+00 -0.1480E+01  0.0000E+00 -0.6833E+00  0.9556E+00 -0.6833E+00  0.9556E+00
 
  0.5000E+02  0.1000E+02  0.5000E+02  0.2000E+00 -0.3235E-01  0.1669E+01 -0.1367E+01  0.0000E+00 -0.1480E+01  0.0000E+00 -0.6833E+00  0.9556E+00 -0.6833E+00  0.9556E+00
 
  0.5000E+02  0.1000E+02  0.5000E+02  0.3000E+00  0.6982E+00  0.2321E+01 -0.1283E+01  0.0000E+00 -0.1394E+01  0.0000E+00 -0.6416E+00  0.1479E+01 -0.6416E+00  0.1479E+01
 
  0.5000E+02  0.1000E+02  0.5000E+02  0.3000E+00  0.6982E+00  0.2321E+01 -0.1283E+01  0.0000E+00 -0.1394E+01  0.0000E+00 -0.6416E+00  0.1479E+01 -0.6416E+00  0.1479E+01
 
  0.5000E+02  0.1000E+02  0.5000E+02  0.3000E+00  0.6982E+00  0.2321E+01 -0.1283E+01  0.0000E+00 -0.1394E+01  0.0000E+00 -0.6416E+00  0.1479E+01 -0.6416E+00  0.1479E+01
 
  0.5000E+02  0.1000E+02  0.5000E+02  0.3000E+00  0.6982E+00  0.2321E+01 -0.1283E+01  0.0000E+00 -0.1394E+01  0.0000E+00 -0.6416E+00  0.1479E+01 -0.6416E+00  0.1479E+01
 
  0.5000E+02  0.1000E+02  0.5000E+02  0.3000E+00  0.6982E+00  0.2321E+01 -0.1283E+01  0.0000E+00 -0.1394E+01  0.0000E+00 -0.6416E+00  0.1479E+01 -0.6416E+00  0.1479E+01
 
  0.5000E+02  0.1000E+02  0.5000E+02  0.3000E+00  0.6982E+00  0.2321E+01 -0.1283E+01  0.0000E+00 -0.1394E+01  0.0000E+00 -0.6416E+00  0.1479E+01 -0.6416E+00  0.1479E+01
 
  0.5000E+02  0.1000E+02  0.5000E+02  0.4000E+00  0.1919E+01  0.2473E+01 -0.6067E+00  0.0000E+00 -0.6304E+00  0.0000E+00 -0.3033E+00  0.1882E+01 -0.3033E+00  0.1882E+01
 
  0.5000E+02  0.1000E+02  0.5000E+02  0.4000E+00  0.1919E+01  0.2473E+01 -0.6067E+00  0.0000E+00 -0.6304E+00  0.0000E+00 -0.3033E+00  0.1882E+01 -0.3033E+00  0.1882E+01
 
  0.5000E+02  0.1000E+02  0.5000E+02  0.4000E+00  0.1919E+01  0.2473E+01 -0.6067E+00  0.0000E+00 -0.6304E+00  0.0000E+00 -0.3033E+00  0.1882E+01 -0.3033E+00  0.1882E+01
 
  0.5000E+02  0.1000E+02  0.5000E+02  0.4000E+00  0.1919E+01  0.2473E+01 -0.6067E+00  0.0000E+00 -0.6304E+00  0.0000E+00 -0.3033E+00  0.1882E+01 -0.3033E+00  0.1882E+01
 
  0.5000E+02  0.1000E+02  0.5000E+02  0.4000E+00  0.1919E+01  0.2473E+01 -0.6067E+00  0.0000E+00 -0.6304E+00  0.0000E+00 -0.3033E+00  0.1882E+01 -0.3033E+00  0.1882E+01
 
  0.5000E+02  0.1000E+02  0.5000E+02  0.4000E+00  0.1919E+01  0.2473E+01 -0.6067E+00  0.0000E+00 -0.6304E+00  0.0000E+00 -0.3033E+00  0.1882E+01 -0.3033E+00  0.1882E+01
 
  0.5000E+02  0.1000E+02  0.5000E+02  0.5000E+00  0.3443E+01  0.1745E+01  0.5049E+00  0.0000E+00  0.6410E+00  0.0000E+00  0.2524E+00  0.2046E+01  0.2524E+00  0.2046E+01
 
  0.5000E+02  0.1000E+02  0.5000E+02  0.5000E+00  0.3443E+01  0.1745E+01  0.5049E+00  0.0000E+00  0.6410E+00  0.0000E+00  0.2524E+00  0.2046E+01  0.2524E+00  0.2046E+01
 
  0.5000E+02  0.1000E+02  0.5000E+02  0.5000E+00  0.3443E+01  0.1745E+01  0.5049E+00  0.0000E+00  0.6410E+00  0.0000E+00  0.2524E+00  0.2046E+01  0.2524E+00  0.2046E+01
 
  0.5000E+02  0.1000E+02  0.5000E+02  0.5000E+00  0.3443E+01  0.1745E+01  0.5049E+00  0.0000E+00  0.6410E+00  0.0000E+00  0.2524E+00  0.2046E+01  0.2524E+00  0.2046E+01
 
  0.5000E+02  0.1000E+02  0.5000E+02  0.5000E+00  0.3443E+01  0.1745E+01  0.5049E+00  0.0000E+00  0.6410E+00  0.0000E+00  0.2524E+00  0.2046E+01  0.2524E+00  0.2046E+01
 
  0.5000E+02  0.1000E+02  0.5000E+02  0.5000E+00  0.3443E+01  0.1745E+01  0.5049E+00  0.0000E+00  0.6410E+00  0.0000E+00  0.2524E+00  0.2046E+01  0.2524E+00  0.2046E+01
 
  0.5000E+02  0.1000E+02  0.5000E+02  0.6000E+00  0.6778E+01  0.6110E-01  0.1817E+01  0.0000E+00  0.2072E+01  0.0000E+00  0.9087E+00  0.1893E+01  0.9087E+00  0.1893E+01
 
  0.5000E+02  0.1000E+02  0.5000E+02  0.6000E+00  0.6778E+01  0.6110E-01  0.1817E+01  0.0000E+00  0.2072E+01  0.0000E+00  0.9087E+00  0.1893E+01  0.9087E+00  0.1893E+01
 
  0.5000E+02  0.1000E+02  0.5000E+02  0.6000E+00  0.6778E+01  0.6110E-01  0.1817E+01  0.0000E+00  0.2072E+01  0.0000E+00  0.9087E+00  0.1893E+01  0.9087E+00  0.1893E+01
 
  0.5000E+02  0.1000E+02  0.5000E+02  0.6000E+00  0.6778E+01  0.6110E-01  0.1817E+01  0.0000E+00  0.2072E+01  0.0000E+00  0.9087E+00  0.1893E+01  0.9087E+00  0.1893E+01
 
  0.5000E+02  0.1000E+02  0.5000E+02  0.6000E+00  0.6778E+01  0.6110E-01  0.1817E+01  0.0000E+00  0.2072E+01  0.0000E+00  0.9087E+00  0.1893E+01  0.9087E+00  0.1893E+01
 
  0.5000E+02  0.1000E+02  0.5000E+02  0.6000E+00  0.6778E+01  0.6110E-01  0.1817E+01  0.0000E+00  0.2072E+01  0.0000E+00  0.9087E+00  0.1893E+01  0.9087E+00  0.1893E+01
 
  0.5000E+02  0.1000E+02  0.5000E+02  0.7000E+00  0.9735E+01  0.3555E-01  0.3105E+01  0.0000E+00  0.3165E+01  0.0000E+00  0.1552E+01  0.1356E+01  0.1552E+01  0.1356E+01
 
  0.5000E+02  0.1000E+02  0.5000E+02  0.7000E+00  0.9735E+01  0.3555E-01  0.3105E+01  0.0000E+00  0.3165E+01  0.0000E+00  0.1552E+01  0.1356E+01  0.1552E+01  0.1356E+01
 
  0.5000E+02  0.1000E+02  0.5000E+02  0.7000E+00  0.9735E+01  0.3555E-01  0.3105E+01  0.0000E+00  0.3165E+01  0.0000E+00  0.1552E+01  0.1356E+01  0.1552E+01  0.1356E+01
 
  0.5000E+02  0.1000E+02  0.5000E+02  0.7000E+00  0.9735E+01  0.3555E-01  0.3105E+01  0.0000E+00  0.3165E+01  0.0000E+00  0.1552E+01  0.1356E+01  0.1552E+01  0.1356E+01
 
  0.5000E+02  0.1000E+02  0.5000E+02  0.7000E+00  0.9735E+01  0.3555E-01  0.3105E+01  0.0000E+00  0.3165E+01  0.0000E+00  0.1552E+01  0.1356E+01  0.1552E+01  0.1356E+01
 
  0.5000E+02  0.1000E+02  0.5000E+02  0.7000E+00  0.9735E+01  0.3555E-01  0.3105E+01  0.0000E+00  0.3165E+01  0.0000E+00  0.1552E+01  0.1356E+01  0.1552E+01  0.1356E+01
 
  0.5000E+02  0.1000E+02  0.5000E+02  0.8000E+00  0.1191E+02  0.3031E-01  0.4200E+01  0.0000E+00  0.3273E+01  0.0000E+00  0.2763E+01  0.0000E+00  0.2763E+01  0.0000E+00
 
  0.5000E+02  0.1000E+02  0.5000E+02  0.8000E+00  0.1191E+02  0.3031E-01  0.4200E+01  0.0000E+00  0.3273E+01  0.0000E+00  0.2763E+01  0.0000E+00  0.2763E+01  0.0000E+00
 
  0.5000E+02  0.1000E+02  0.5000E+02  0.8000E+00  0.1191E+02  0.3031E-01  0.4200E+01  0.0000E+00  0.3273E+01  0.0000E+00  0.2763E+01  0.0000E+00  0.2763E+01  0.0000E+00
 
  0.5000E+02  0.1000E+02  0.5000E+02  0.8000E+00  0.1191E+02  0.3031E-01  0.4200E+01  0.0000E+00  0.3273E+01  0.0000E+00  0.2763E+01  0.0000E+00  0.2763E+01  0.0000E+00
 
  0.5000E+02  0.1000E+02  0.5000E+02  0.8000E+00  0.1191E+02  0.3031E-01  0.4200E+01  0.0000E+00  0.3273E+01  0.0000E+00  0.2763E+01  0.0000E+00  0.2763E+01  0.0000E+00
 
  0.5000E+02  0.1000E+02  0.5000E+02  0.8000E+00  0.1191E+02  0.3031E-01  0.4200E+01  0.0000E+00  0.3273E+01  0.0000E+00  0.2763E+01  0.0000E+00  0.2763E+01  0.0000E+00
 
  0.5000E+02  0.1000E+02  0.5000E+02  0.9000E+00  0.1342E+02  0.2822E-01  0.5010E+01  0.0000E+00  0.1527E+01  0.0000E+00  0.4093E+01  0.0000E+00  0.4093E+01  0.0000E+00
 
  0.5000E+02  0.1000E+02  0.5000E+02  0.9000E+00  0.1342E+02  0.2822E-01  0.5010E+01  0.0000E+00  0.1527E+01  0.0000E+00  0.4093E+01  0.0000E+00  0.4093E+01  0.0000E+00
 
  0.5000E+02  0.1000E+02  0.5000E+02  0.9000E+00  0.1342E+02  0.2822E-01  0.5010E+01  0.0000E+00  0.1527E+01  0.0000E+00  0.4093E+01  0.0000E+00  0.4093E+01  0.0000E+00
 
  0.5000E+02  0.1000E+02  0.5000E+02  0.9000E+00  0.1342E+02  0.2822E-01  0.5010E+01  0.0000E+00  0.1527E+01  0.0000E+00  0.4093E+01  0.0000E+00  0.4093E+01  0.0000E+00
 
  0.5000E+02  0.1000E+02  0.5000E+02  0.9000E+00  0.1342E+02  0.2822E-01  0.5010E+01  0.0000E+00  0.1527E+01  0.0000E+00  0.4093E+01  0.0000E+00  0.4093E+01  0.0000E+00
 
  0.5000E+02  0.1000E+02  0.5000E+02  0.9000E+00  0.1342E+02  0.2822E-01  0.5010E+01  0.0000E+00  0.1527E+01  0.0000E+00  0.4093E+01  0.0000E+00  0.4093E+01  0.0000E+00
 
  0.5000E+02  0.1000E+02  0.5000E+02  0.1000E+01  0.1434E+02  0.2811E-01  0.5514E+01  0.0000E+00 -0.3333E+01  0.0000E+00  0.4726E+01  0.0000E+00  0.4726E+01  0.0000E+00
 
  0.5000E+02  0.1000E+02  0.5000E+02  0.1000E+01  0.1434E+02  0.2811E-01  0.5514E+01  0.0000E+00 -0.3333E+01  0.0000E+00  0.4726E+01  0.0000E+00  0.4726E+01  0.0000E+00
 
  0.5000E+02  0.1000E+02  0.5000E+02  0.1000E+01  0.1434E+02  0.2811E-01  0.5514E+01  0.0000E+00 -0.3333E+01  0.0000E+00  0.4726E+01  0.0000E+00  0.4726E+01  0.0000E+00
 
  0.5000E+02  0.1000E+02  0.5000E+02  0.1000E+01  0.1434E+02  0.2811E-01  0.5514E+01  0.0000E+00 -0.3333E+01  0.0000E+00  0.4726E+01  0.0000E+00  0.4726E+01  0.0000E+00
 
  0.5000E+02  0.1000E+02  0.5000E+02  0.1000E+01  0.1434E+02  0.2811E-01  0.5514E+01  0.0000E+00 -0.3333E+01  0.0000E+00  0.4726E+01  0.0000E+00  0.4726E+01  0.0000E+00
 
  0.5000E+02  0.1000E+02  0.5000E+02  0.1000E+01  0.1434E+02  0.2811E-01  0.5514E+01  0.0000E+00 -0.3333E+01  0.0000E+00  0.4726E+01  0.0000E+00  0.4726E+01  0.0000E+00
 
  0.5000E+02  0.1000E+02  0.5000E+02  0.1100E+01  0.1482E+02  0.2930E-01  0.5739E+01  0.0000E+00 -0.1334E+02  0.0000E+00  0.4951E+01  0.0000E+00  0.4951E+01  0.0000E+00
 
  0.5000E+02  0.1000E+02  0.5000E+02  0.1100E+01  0.1482E+02  0.2930E-01  0.5739E+01  0.0000E+00 -0.1334E+02  0.0000E+00  0.4951E+01  0.0000E+00  0.4951E+01  0.0000E+00
 
