    tprime_i    fprime_i    tprime_e          ky       omega       gamma       omlin       gmlin      omlina      gmlina      omquad      gmquad     omquada     gmquada
  0.5000E+02  0.1000E+02  0.5000E+02  0.1000E+00 -0.3330E+00  0.2987E+00 -0.8663E+00  0.0000E+00 -0.9313E+00  0.0000E+00 -0.4332E+00  0.4445E+00 -0.4331E+00  0.4446E+00
 
  0.5000E+02  0.1000E+02  0.5000E+02  0.1000E+00 -0.3330E+00  0.2987E+00 -0.8663E+00  0.0000E+00 -0.9313E+00  0.0000E+00 -0.4332E+00  0.4445E+00 -0.4331E+00  0.4446E+00
 
  0.5000E+02  0.1000E+02  0.5000E+02  0.1000E+00 -0.3330E+00  0.2987E+00 -0.8663E+00  0.0000E+00 -0.9313E+00  0.0000E+00 -0.4332E+00  0.4445E+00 -0.4331E+00  0.4446E+00
 
  0.5000E+02  0.1000E+02  0.5000E+02  0.1000E+00 -0.3330E+00  0.2987E+00 -0.8663E+00  0.0000E+00 -0.9313E+00  0.0000E+00 -0.4332E+00  0.4445E+00 -0.4331E+00  0.4446E+00
 
  0.5000E+02  0.1000E+02  0.5000E+02  0.1000E+00 -0.3330E+00  0.2987E+00 -0.8663E+00  0.0000E+00 -0.9313E+00  0.0000E+00 -0.4332E+00  0.4445E+00 -0.4331E+00  0.4446E+00
 
  0.5000E+02  0.1000E+02  0.5000E+02  0.1000E+00 -0.3330E+00  0.2987E+00 -0.8663E+00  0.0000E+00 -0.9313E+00  0.0000E+00 -0.4332E+00  0.4445E+00 -0.4331E+00  0.4446E+00
 
  0.5000E+02  0.1000E+02  0.5000E+02  0.2000E+00 -0.4823E+00  0.7439E+00 -0.1367E+01  0.0000E+00 -0.1480E+01  0.0000E+00 -0.6833E+00  0.9556E+00 -0.6794E+00  0.9567E+00
 
