    tprime_i    fprime_i    tprime_e          ky       omega       gamma       omlin       gmlin      omlina      gmlina      omquad      gmquad     omquada     gmquada
  0.1000E+03  0.1000E+02  0.1000E+03  0.1000E+00 -0.3012E+00  0.6533E+00 -0.8174E+00  0.0000E+00 -0.8823E+00  0.0000E+00 -0.4087E+00  0.7338E+00 -0.1790E+01  0.0000E+00
 
  0.1000E+03  0.1000E+02  0.1000E+03  0.1000E+00 -0.3012E+00  0.6533E+00 -0.8174E+00  0.0000E+00 -0.8823E+00  0.0000E+00 -0.4087E+00  0.7338E+00 -0.4667E+00  0.1050E-02
 
  0.1000E+03  0.1000E+02  0.1000E+03  0.1000E+00 -0.3012E+00  0.6533E+00 -0.8174E+00  0.0000E+00 -0.8823E+00  0.0000E+00 -0.4087E+00  0.7338E+00 -0.1790E+01  0.0000E+00
 
  0.1000E+03  0.1000E+02  0.1000E+03  0.1000E+00 -0.3012E+00  0.6533E+00 -0.8174E+00  0.0000E+00 -0.8823E+00  0.0000E+00 -0.4087E+00  0.7338E+00 -0.4667E+00  0.1050E-02
 
  0.1000E+03  0.1000E+02  0.1000E+03  0.1000E+00 -0.3012E+00  0.6533E+00 -0.8174E+00  0.0000E+00 -0.8823E+00  0.0000E+00 -0.4087E+00  0.7338E+00 -0.1790E+01  0.0000E+00
 
  0.1000E+03  0.1000E+02  0.1000E+03  0.1000E+00 -0.3012E+00  0.6533E+00 -0.8174E+00  0.0000E+00 -0.8823E+00  0.0000E+00 -0.4087E+00  0.7338E+00 -0.4667E+00  0.1050E-02
 
  0.1000E+03  0.1000E+02  0.1000E+03  0.2000E+00 -0.2849E+00  0.1398E+01 -0.1004E+01  0.0000E+00 -0.1110E+01  0.0000E+00 -0.5018E+00  0.1505E+01 -0.2256E+01  0.0000E+00
 
  0.1000E+03  0.1000E+02  0.1000E+03  0.2000E+00 -0.2849E+00  0.1398E+01 -0.1004E+01  0.0000E+00 -0.1110E+01  0.0000E+00 -0.5018E+00  0.1505E+01 -0.9333E+00  0.1484E-02
 
  0.1000E+03  0.1000E+02  0.1000E+03  0.2000E+00 -0.2849E+00  0.1398E+01 -0.1004E+01  0.0000E+00 -0.1110E+01  0.0000E+00 -0.5018E+00  0.1505E+01 -0.2256E+01  0.0000E+00
 
  0.1000E+03  0.1000E+02  0.1000E+03  0.2000E+00 -0.2849E+00  0.1398E+01 -0.1004E+01  0.0000E+00 -0.1110E+01  0.0000E+00 -0.5018E+00  0.1505E+01 -0.9333E+00  0.1484E-02
 
  0.1000E+03  0.1000E+02  0.1000E+03  0.2000E+00 -0.2849E+00  0.1398E+01 -0.1004E+01  0.0000E+00 -0.1110E+01  0.0000E+00 -0.5018E+00  0.1505E+01 -0.2256E+01  0.0000E+00
 
  0.1000E+03  0.1000E+02  0.1000E+03  0.2000E+00 -0.2849E+00  0.1398E+01 -0.1004E+01  0.0000E+00 -0.1110E+01  0.0000E+00 -0.5018E+00  0.1505E+01 -0.9333E+00  0.1484E-02
 
  0.1000E+03  0.1000E+02  0.1000E+03  0.3000E+00  0.2347E+00  0.2104E+01 -0.1939E+00  0.0000E+00 -0.2626E+00  0.0000E+00 -0.9697E-01  0.2168E+01 -0.2723E+01  0.0000E+00
 
  0.1000E+03  0.1000E+02  0.1000E+03  0.3000E+00  0.2347E+00  0.2104E+01 -0.1939E+00  0.0000E+00 -0.2626E+00  0.0000E+00 -0.9697E-01  0.2168E+01 -0.1400E+01  0.1818E-02
 
  0.1000E+03  0.1000E+02  0.1000E+03  0.3000E+00  0.2347E+00  0.2104E+01 -0.1939E+00  0.0000E+00 -0.2626E+00  0.0000E+00 -0.9697E-01  0.2168E+01 -0.2723E+01  0.0000E+00
 
  0.1000E+03  0.1000E+02  0.1000E+03  0.3000E+00  0.2347E+00  0.2104E+01 -0.1939E+00  0.0000E+00 -0.2626E+00  0.0000E+00 -0.9697E-01  0.2168E+01 -0.1400E+01  0.1818E-02
 
  0.1000E+03  0.1000E+02  0.1000E+03  0.3000E+00  0.2347E+00  0.2104E+01 -0.1939E+00  0.0000E+00 -0.2626E+00  0.0000E+00 -0.9697E-01  0.2168E+01 -0.2723E+01  0.0000E+00
 
  0.1000E+03  0.1000E+02  0.1000E+03  0.3000E+00  0.2347E+00  0.2104E+01 -0.1939E+00  0.0000E+00 -0.2626E+00  0.0000E+00 -0.9697E-01  0.2168E+01 -0.1400E+01  0.1818E-02
 
  0.1000E+03  0.1000E+02  0.1000E+03  0.4000E+00  0.1261E+01  0.2497E+01  0.1604E+01  0.0000E+00  0.1713E+01  0.0000E+00  0.8020E+00  0.2426E+01 -0.3190E+01  0.0000E+00
 
  0.1000E+03  0.1000E+02  0.1000E+03  0.4000E+00  0.1261E+01  0.2497E+01  0.1604E+01  0.0000E+00  0.1713E+01  0.0000E+00  0.8020E+00  0.2426E+01 -0.1867E+01  0.2099E-02
 
  0.1000E+03  0.1000E+02  0.1000E+03  0.4000E+00  0.1261E+01  0.2497E+01  0.1604E+01  0.0000E+00  0.1713E+01  0.0000E+00  0.8020E+00  0.2426E+01 -0.3190E+01  0.0000E+00
 
  0.1000E+03  0.1000E+02  0.1000E+03  0.4000E+00  0.1261E+01  0.2497E+01  0.1604E+01  0.0000E+00  0.1713E+01  0.0000E+00  0.8020E+00  0.2426E+01 -0.1867E+01  0.2099E-02
 
  0.1000E+03  0.1000E+02  0.1000E+03  0.4000E+00  0.1261E+01  0.2497E+01  0.1604E+01  0.0000E+00  0.1713E+01  0.0000E+00  0.8020E+00  0.2426E+01 -0.3190E+01  0.0000E+00
 
  0.1000E+03  0.1000E+02  0.1000E+03  0.4000E+00  0.1261E+01  0.2497E+01  0.1604E+01  0.0000E+00  0.1713E+01  0.0000E+00  0.8020E+00  0.2426E+01 -0.1867E+01  0.2099E-02
 
  0.1000E+03  0.1000E+02  0.1000E+03  0.5000E+00  0.2660E+01  0.2280E+01  0.4087E+01  0.0000E+00  0.4487E+01  0.0000E+00  0.2043E+01  0.1831E+01 -0.3656E+01  0.0000E+00
 
  0.1000E+03  0.1000E+02  0.1000E+03  0.5000E+00  0.2660E+01  0.2280E+01  0.4087E+01  0.0000E+00  0.4487E+01  0.0000E+00  0.2043E+01  0.1831E+01 -0.2333E+01  0.2347E-02
 
